Aikaleima	ID	Asuinpaikka	Oppiaste	MOOC-kokemus	Koodiaapisen linja	Oppiaineet	Ohjelmointiympäristöt	Ohjelmointi opetuksessa	Kunka paljon aikaa luulet pystyväsi käyttämään MOOC:in suorittamiseen viikoittain	Sukupuoli	Ikä	Työtilanne	Koulun kunta
13.10.2015 klo 16.18.45	#N/A	Pirkanmaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Historia ja yhteiskuntaoppi	Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Ikaalinen
13.10.2015 klo 16.46.52	#N/A	Etelä-Savo	Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	C/C++, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	36-45	Vakinainen työsuhde (opettaja)	Savonlinna
13.10.2015 klo 16.58.56	#N/A	Pirkanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Olen erityisopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Kielet, Biologia ja/tai maantieto, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET	Code.org, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Tampere
13.10.2015 klo 17.14.23	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch, Code.org, Turtle Roy	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
13.10.2015 klo 17.16.51	119	Varsinais-Suomi	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Logo, Basic (Visual, Cool, tms)	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Salo
13.10.2015 klo 17.41.58	#N/A	Etelä-Savo	Lukio, Vapaa sivistystyö, aikuisten perusopetus	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	C/C++, HTML, CSS, Fortran77	En ole koskaan käyttänyt ohjelmointia opetustyössä	3-5h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Mikkeli
13.10.2015 klo 18.47.27	#N/A	Kymenlaakso	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	Code.org	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Kotka
13.10.2015 klo 21.19.14	124	Varsinais-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen erityisopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Kielet, Uskonto ja/tai ET	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Salo
13.10.2015 klo 22.29.05	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	En tiedä vielä	Olen luokanopettaja, Musiikki	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Jyväskylä
14.10.2015 klo 8.39.06	127	Pohjois-Pohjanmaa	Perusopetus luokat 7-9, Lukio	Kyllä, mutta olen jättänyt kesken	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Matematiikka, Oppilaanohjaus	Hopscotch, Java, Basic (Visual, Cool, tms), HTML, CSS	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Mikkeli
14.10.2015 klo 8.41.10	#N/A	Pohjois-Savo	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Varkaus
14.10.2015 klo 9.39.40	#N/A	Etelä-Savo	Perusopetus luokat 7-9	En	Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	ScratchJr, Turtle Roy, C/C++, Basic (Visual, Cool, tms)	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Joroinen
14.10.2015 klo 9.49.40	#N/A	Keski-Suomi	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6), Racket (7-9)		Scratch, Racket, Code.org, JavaScript, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Nainen	46-55	pedagoginen ict-tukihenkilö	Hankasalmi
14.10.2015 klo 10.49.57	#N/A	Etelä-Karjala	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2)	Olen luokanopettaja, Musiikki	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Joensuu
14.10.2015 klo 12.02.08	#N/A	Etelä-Karjala	Perusopetus luokat 1-2	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2)	Olen luokanopettaja	ScratchJr, Scratch, Hopscotch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Lpr
14.10.2015 klo 12.06.07	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Kielet	ScratchJr, Scratch, Code.org, Java	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Vantaa
14.10.2015 klo 12.09.18	129	Päijät-Häme	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Mäntsälä
14.10.2015 klo 12.42.19	#N/A	Etelä-Karjala	Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Tietotekniikka	ScratchJr, Code.org, Python	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	1-2h	Nainen	46-55	TVT-projektityöntekijä/ st.tuntiopettaja	Miehikkälä
14.10.2015 klo 12.57.52	#N/A	Uusimaa	erityisopettaja luokilla 1-6	En	Scratch (3-6)	Olen erityisopettaja, S2	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kerava
14.10.2015 klo 13.33.16	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2)	Olen luokanopettaja, Olen erityisopettaja	Hopscotch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
14.10.2015 klo 13.47.51	#N/A	Pirkanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	Yli 55	Vakinainen työsuhde (opettaja)	
14.10.2015 klo 15.35.15	1	Keski-Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Kaustinen
14.10.2015 klo 16.10.07	#N/A	Pohjois-Karjala	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Matematiikka	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Outokumpu
