Aikaleima	ID	Asuinpaikka	Oppiaste	MOOC-kokemus	Koodiaapisen linja	Oppiaineet	Ohjelmointiympäristöt	Ohjelmointi opetuksessa	Kunka paljon aikaa luulet pystyväsi käyttämään MOOC:in suorittamiseen viikoittain	Sukupuoli	Ikä	Työtilanne	Koulun kunta
20.10.2015 klo 9.57.28	212	Etelä-Pohjanmaa	Perusopetus luokat 7-9	En	Scratch (3-6), Racket (7-9)	Fysiikka ja/tai kemia	Scratch, Turtle Roy, C/C++, HTML, CSS	yli 10 vuotta sitten opetin www-ohjelmointia html-kielellä. Varsin perusteissa pysyttiin.	2-3h	Mies	36-45	Vakinainen työsuhde (opettaja)	Seinäjoki
20.10.2015 klo 11.07.35	#N/A	Päijät-Häme	Esiopetus	En	ScratchJr (E-2)	esiopetus	ScratchJr	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lahden kaupunki
20.10.2015 klo 11.18.36	#N/A	Kymenlaakso	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	25-35	Vakinainen työsuhde (opettaja)	Kotka
20.10.2015 klo 12.46.50	268	Varsinais-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lieto
20.10.2015 klo 14.11.32	#N/A	Pohjois-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Lapinlahti
20.10.2015 klo 14.11.34	#N/A	Pohjois-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	0-1h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Lapinlahti
20.10.2015 klo 14.40.14	213	Varsinais-Suomi	Perusopetus luokat 7-9	En	Racket (7-9), En tiedä vielä	Matematiikka, Fysiikka ja/tai kemia	Java, Logo	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	2-3h	Mies	36-45	Vakinainen työsuhde (opettaja)	Lieto
20.10.2015 klo 15.18.07	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Olen luokanopettaja, Matematiikka, Tietotekniikka, Liikunta	ScratchJr, Code.org, Hopscotch, C/C++, Java, Basic (Visual, Cool, tms)	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Mies	36-45	Vakinainen työsuhde (opettaja)	Ii
20.10.2015 klo 15.35.18	#N/A	Uusimaa	Esiopetus, Varhaiskasvatus	En	ScratchJr (E-2)	Lastentarhanopettaja	ScratchJr	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	Käytän niin paljon kuin se vaatii	Mies	36-45	Vakinainen työsuhde (opettaja)	Helsinki
20.10.2015 klo 15.56.40	#N/A	Uusimaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Helsinki 
20.10.2015 klo 16.24.54	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Käsityö	Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
20.10.2015 klo 16.21.00	179	Pirkanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch, Lego RXT, NXT tai EV3, C/C++, Logo	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Tampere
20.10.2015 klo 16.23.23	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Käsityö	Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
20.10.2015 klo 16.30.48	#N/A	Keski-Suomi	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Code.org, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	3-5h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Laukaa
20.10.2015 klo 16.55.25	#N/A	Pohjois-Karjala	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja	Lego RXT, NXT tai EV3, JavaScript	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kontiolahti
20.10.2015 klo 16.55.50	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Scratch (3-6)	Olen luokanopettaja, Käsityö, Musiikki, Liikunta	ScratchJr, Scratch, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
20.10.2015 klo 16.59.16	#N/A	Pohjois-Savo	Perusopetus luokat 1-2	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2)	Erityisluokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kuopio
20.10.2015 klo 17.00.04	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	25-35	Vakinainen työsuhde (opettaja)	Helsinki
20.10.2015 klo 17.04.06	49	Päijät-Häme	Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja, erityisluokanopettaja	Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	lahti
20.10.2015 klo 17.12.46	#N/A	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka	Scratch, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	2-3h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Porvoo
20.10.2015 klo 17.14.54	#N/A	Satakunta	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Scratch (3-6)	Olen erityisopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Historia ja yhteiskuntaoppi, Tietotekniikka	ScratchJr, Scratch, Code.org, Python	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	Yli 55	Sijainen, määräaikainen (opettaja)	Karvia
20.10.2015 klo 17.18.36	232	Varsinais-Suomi	Perusopetus luokat 3-6	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	HTML, CSS, mathematica	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	2-3h	Mies	25-35	Vakinainen työsuhde (opettaja)	Forssa
20.10.2015 klo 17.20.53	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Käsityö	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	vantaa
20.10.2015 klo 17.23.52	#N/A	Pirkanmaa	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	ScratchJr, Scratch, Racket, Code.org, Hopscotch, Lego RXT, NXT tai EV3, Java, Basic (Visual, Cool, tms), HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10), Vedän ohjelmointikerhoa	0-1h	Mies	25-35	Vakinainen työsuhde (opettaja)	Tampere
20.10.2015 klo 17.25.37	234	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6), Racket (7-9)	Olen luokanopettaja, valmistava opetus	ScratchJr, Turtle Roy, Lego RXT, NXT tai EV3, JavaScript, C/C++, Picaxe Basic, Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	25-35	Sijainen, määräaikainen (opettaja)	Kemi
20.10.2015 klo 17.27.05	#N/A	Keski-Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Picaxe Basic, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Kokkola
20.10.2015 klo 17.30.24	#N/A	Keski-Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Picaxe Basic, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Kokkola
20.10.2015 klo 17.36.32	#N/A	Etelä-Pohjanmaa	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Scratch, Code.org, Turtle Roy, Python	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	25-35	Vakinainen työsuhde (opettaja)	Seinäjoki
20.10.2015 klo 17.44.46	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch, Racket, Code.org, Hopscotch, Lego RXT, NXT tai EV3	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10), Vedän ohjelmointikerhoa	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
20.10.2015 klo 17.52.08	#N/A	Etelä-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Mies	25-35	Vakinainen työsuhde (opettaja)	Mikkeli
20.10.2015 klo 17.59.33	#N/A	Etelä-Pohjanmaa	Perusopetus luokat 7-9	En	Scratch (3-6)	Matematiikka, Fysiikka ja/tai kemia	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Seinäjoki
20.10.2015 klo 18.02.17	#N/A	Etelä-Karjala	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Lappeenranta
20.10.2015 klo 18.14.44	229	Varsinais-Suomi	Perusopetus luokat 7-9, Ammattillinen koulutus, Lukio, Yliopisto	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Python, C/C++, Java, C#, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	Vaihtelevasti aikatauluihini sopivasti	Nainen	25-35	Sijainen, määräaikainen (opettaja)	
20.10.2015 klo 18.19.23	245	Varsinais-Suomi	Perusopetus luokat 7-9	Kyllä, mutta olen jättänyt kesken	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Python	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Turku
20.10.2015 klo 18.22.23	244	Keski-Pohjanmaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka, Tietotekniikka	ScratchJr, Scratch, Python, C/C++, Basic (Visual, Cool, tms), HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Veteli
20.10.2015 klo 18.46.17	248	Etelä-Karjala	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Käsityö	Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lappeenranta
20.10.2015 klo 18.46.48	#N/A	Lappi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Tornio
20.10.2015 klo 18.47.56	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Käsityö	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Vantaa
20.10.2015 klo 18.54.28	#N/A	Pirkanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	Code.org, JavaScript, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Sijainen, määräaikainen (opettaja)	Orivesi
20.10.2015 klo 18.57.31	#N/A	Varsinais-Suomi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Laitila
20.10.2015 klo 19.01.57	250	Pohjois-Pohjanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Kielet	C/C++, Java, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Opiskelija (opettajaksi valmistuva)	
20.10.2015 klo 19.05.32	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6	En	Scratch (3-6), Racket (7-9)	Olen luokanopettaja	Scratch, JavaScript, C/C++, Java, HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Mies	46-55	Vakinainen työsuhde (opettaja)	Kuusamo
20.10.2015 klo 19.17.28	#N/A	Pirkanmaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Tampere
20.10.2015 klo 19.18.38	255	Uusimaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Python	Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Helsinki
20.10.2015 klo 19.20.32	#N/A	Pohjois-Savo	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Scala	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	
20.10.2015 klo 19.25.57	#N/A	Kymenlaakso	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch, Code.org, Hopscotch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Hamina
20.10.2015 klo 19.39.34	#N/A	Uusimaa	Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja, Kotitalous	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Helsinki
20.10.2015 klo 19.39.39	259	Pirkanmaa	Perusopetus luokat 7-9	Kyllä, mutta olen jättänyt kesken	Racket (7-9)	Matematiikka, Tietotekniikka	Scratch, Racket, Code.org, Lego RXT, NXT tai EV3, JavaScript, C/C++, Java, Basic (Visual, Cool, tms), HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), olen opettanut ohjelmointia yliopistossa, mutta siitä on aikaa	1-2h	Nainen	46-55	Sijainen, määräaikainen (opettaja)	Pirkkala
20.10.2015 klo 19.39.48	265	Uusimaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, Racket, Code.org, JavaScript, Java, HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Helsinki
20.10.2015 klo 19.41.28	258	Pohjois-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9, Lukio, Vapaa sivistystyö	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Matematiikka, Fysiikka ja/tai kemia	En ole koskaan ohjelmoinut mitään	annan oppilaille ohjeita vaiheittain= ohjelmoin?	1-2h	Nainen	25-35	määräaikainen, ei sijainen (opettaja)	Pielavesi
20.10.2015 klo 19.45.38	#N/A	Pohjois-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kuopio
20.10.2015 klo 19.47.36	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	ScratchJr	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Oulu
20.10.2015 klo 19.49.54	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
20.10.2015 klo 19.56.11	#N/A	Uusimaa	Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja, Kotitalous	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Helsinki
20.10.2015 klo 19.58.28	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Kielet	ScratchJr, Hopscotch, HTML, CSS		1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Vihti
20.10.2015 klo 19.59.39	261	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Code.org, Turtle Roy	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	46-55	Sijainen, määräaikainen (opettaja)	Lohja
20.10.2015 klo 20.08.13	#N/A	Muualla	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Tukholma
20.10.2015 klo 20.24.03	263	Kanta-Häme	Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Fysiikka ja/tai kemia, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET, Käsityö, Musiikki, Kuvataide, Liikunta	ScratchJr, Scratch, Code.org, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Tammela
20.10.2015 klo 20.24.29	#N/A	Pohjois-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Lapinlahti
20.10.2015 klo 20.44.39	269	Etelä-Karjala	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Parikkala
20.10.2015 klo 20.54.11	#N/A	Lappi	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Code.org, abcya	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Tervola
20.10.2015 klo 20.54.19	268	Varsinais-Suomi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lieto
20.10.2015 klo 20.54.28	268	Varsinais-Suomi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lieto
20.10.2015 klo 20.56.07	#N/A	Pirkanmaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja, Historia ja yhteiskuntaoppi, Liikunta	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Orivesi
20.10.2015 klo 20.57.33	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja, Oppilaanohjaus, Tietotekniikka, Käsityö	ScratchJr, Scratch, Code.org, Lego RXT, NXT tai EV3, Logo, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olen opettanut ohjelmointia pidemmän jakson (yli 10), Vedän ohjelmointikerhoa	Käytän niin paljon kuin se vaatii	Mies	46-55	Vakinainen työsuhde (opettaja)	Vantaa
20.10.2015 klo 21.06.31	273	Etelä-Karjala	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Basic (Visual, Cool, tms), Pascal, turbopascal	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Lappeenranta
20.10.2015 klo 21.07.23	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Biologia ja/tai maantieto, Terveystieto	Scratch, Python	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	Alle 25	Työtön, ei työelämässä	
20.10.2015 klo 21.09.23	#N/A	Satakunta	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Käsityö, Kuvataide	JavaScript, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä, Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	3-5h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Eura
20.10.2015 klo 21.13.36	#N/A	Pohjois-Karjala	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kontiolahti
20.10.2015 klo 21.18.29	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Hopscotch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Inkoo
20.10.2015 klo 21.26.27	#N/A	Pirkanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Lempäälä
20.10.2015 klo 21.28.33	#N/A	Uusimaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Kielet	Code.org, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Helsinki
20.10.2015 klo 21.42.53	#N/A	Uusimaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Erityisluokanopettaja	ScratchJr	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Hyvinkää
20.10.2015 klo 21.44.55	277	Keski-Suomi	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Python, C#, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Mies	46-55	Vakinainen työsuhde (opettaja)	Petäjävesi
20.10.2015 klo 21.45.46	279	Uusimaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Kielet, Biologia ja/tai maantieto, Uskonto ja/tai ET, Käsityö, Musiikki, Kuvataide	ScratchJr	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Vantaa
